P_id,Proof,P_name,P_type,P_raw,S_id,S_name,S_cui_entrezid,S_SMTY,S_raw,O_id,O_name,O_cui_entrezid,O_SMTY,O_raw
D10037274.P7,"Serum soluble intercellular adhesion molecule 1       (sICAM-1) from patients with a benign HCC tumor, and the expression of ICAM-1 in        the orthotopically transplanted LCI-D20 tumor of a nude mouse liver cancer       metastasis model, and in human hepatoma, the tumor surrounding tissue and normal        liver, was analyzed semiquantitatively by the immuno-dot blot method.",PART_OF,NOM,expression ,D10037274.E24,Intercellular adhesion molecule 1,C0063695,gngm,ICAM-1,D10037274.E32,Liver neoplasms,C0023903,neop,hepatoma
D10037274.P8,"Serum soluble intercellular adhesion molecule 1       (sICAM-1) from patients with a benign HCC tumor, and the expression of ICAM-1 in        the orthotopically transplanted LCI-D20 tumor of a nude mouse liver cancer       metastasis model, and in human hepatoma, the tumor surrounding tissue and normal        liver, was analyzed semiquantitatively by the immuno-dot blot method.",PART_OF,NOM,expression ,D10037274.E24,Intercellular adhesion molecule 1,C0063695,gngm,ICAM-1,D10037274.E27,Neoplasms,C0027651,neop,tumor
D10037274.P9,"Serum soluble intercellular adhesion molecule 1       (sICAM-1) from patients with a benign HCC tumor, and the expression of ICAM-1 in        the orthotopically transplanted LCI-D20 tumor of a nude mouse liver cancer       metastasis model, and in human hepatoma, the tumor surrounding tissue and normal        liver, was analyzed semiquantitatively by the immuno-dot blot method.",PROCESS_OF,PREP,with ,D10037274.E23,Benign Neoplasm,C0086692,neop,benign HCC tumor,D10037274.E21,Patients,C0030705,humn,patients
D10037274.P10,"Serum soluble intercellular adhesion molecule 1       (sICAM-1) from patients with a benign HCC tumor, and the expression of ICAM-1 in        the orthotopically transplanted LCI-D20 tumor of a nude mouse liver cancer       metastasis model, and in human hepatoma, the tumor surrounding tissue and normal        liver, was analyzed semiquantitatively by the immuno-dot blot method.",LOCATION_OF,PREP,from ,D10037274.E21,Patients,C0030705,humn,patients,D10037274.E20,Intercellular adhesion molecule 1,C0063695,aapp,intercellular adhesion molecule 1
D10037274.P11,RESULTS: ICAM-1       expression in LD1-20 D metastatic liver cancer had a positive correlation with       tumor size and the time after implantation.,PART_OF,NOM,expression ,D10037274.E42,Intercellular adhesion molecule 1,C0063695,gngm,ICAM-1,D10037274.E44,Secondary malignant neoplasm of liver,C0494165,neop,metastatic liver cancer
D10037274.P12,"The ICAM-1       concentration in HCC (13.43+/-0.09) was higher than that in tumor surrounding the       liver (5.89+/-0.17, P < 0.01) and that in normal liver (4.27+/-0.21, P < 0.01).",ASSOCIATED_WITH,PREP,in ,D10037274.E88,Intercellular adhesion molecule 1,C0063695,aapp,ICAM-1,D10037274.E89,Malignant neoplasm of liver,C0345904,neop,HCC
D10037274.P13,"sICAM-1, like tissue ICAM-1, was higher in HCC patients than in patients (with       benign liver tumor and normal controls.",PART_OF,MOD_HEAD,"sICAM-1,",D10037274.E96,Intercellular adhesion molecule 1,C0063695,aapp,sICAM-1,D10037274.E95,soluble,C1749467,celc,sICAM-1
D10037274.P14,"sICAM-1, like tissue ICAM-1, was higher in HCC patients than in patients (with       benign liver tumor and normal controls.",PROCESS_OF,MOD_HEAD,HCC patients ,D10037274.E99,Malignant neoplasm of liver,C0345904,neop,HCC,D10037274.E100,Patients,C0030705,humn,patients
D10037274.P15,"sICAM-1, like tissue ICAM-1, was higher in HCC patients than in patients (with       benign liver tumor and normal controls.",LOCATION_OF,PREP,in ,D10037274.E101,Patients,C0030705,humn,patients,D10037274.E96,Intercellular adhesion molecule 1,C0063695,aapp,sICAM-1
D10037274.P16,"sICAM-1, like tissue ICAM-1, was higher in HCC patients than in patients (with       benign liver tumor and normal controls.",LOCATION_OF,PREP,in ,D10037274.E100,Patients,C0030705,humn,patients,D10037274.E97,Intercellular adhesion molecule 1,C0063695,aapp,ICAM-1
D10037274.P17,Both tissue ICAM-1 and sICAM-1 were       higher in the metastasis group than in the group without metastasis (tissue       ICAM-1 20.24+/-0.30 vs 10.23+/-0.12 P < 0.05; sICAM-1 12.18+/-0.25 vs 9.77+/-0.54       P < 0.05).,PART_OF,MOD_HEAD,sICAM-1 ,D10037274.E107,Intercellular adhesion molecule 1,C0063695,aapp,sICAM-1,D10037274.E106,soluble,C1749467,celc,sICAM-1
D10037274.P18,Both tissue ICAM-1 and sICAM-1 were       higher in the metastasis group than in the group without metastasis (tissue       ICAM-1 20.24+/-0.30 vs 10.23+/-0.12 P < 0.05; sICAM-1 12.18+/-0.25 vs 9.77+/-0.54       P < 0.05).,LOCATION_OF,PREP,in ,D10037274.E109,secondary group,C0680398,humn,metastasis group,D10037274.E104,Intercellular adhesion molecule 1,C0063695,aapp,ICAM-1
D10037274.P19,Both tissue ICAM-1 and sICAM-1 were       higher in the metastasis group than in the group without metastasis (tissue       ICAM-1 20.24+/-0.30 vs 10.23+/-0.12 P < 0.05; sICAM-1 12.18+/-0.25 vs 9.77+/-0.54       P < 0.05).,LOCATION_OF,PREP,in ,D10037274.E109,secondary group,C0680398,humn,metastasis group,D10037274.E107,Intercellular adhesion molecule 1,C0063695,aapp,sICAM-1
D10037274.P20,"Northern blot analysis revealed that ICAM-1 expression, as indicated       by mRNA level, was also higher in HCC and in cancer emboli than in tumor       surrounding liver and normal liver.",ASSOCIATED_WITH,PREP,in ,D10037274.E120,Intercellular adhesion molecule 1,C0063695,aapp,ICAM-1,D10037274.E124,Malignant neoplasm of liver,C0345904,neop,HCC
D10037274.P21,"CONCLUSIONS: Tissue ICAM-1 and serum sICAM-1        could indicate the stage of HCC, and the potential of hepatoma cells for invasion       and metastasis.",PART_OF,MOD_HEAD,sICAM-1 ,D10037274.E133,Intercellular adhesion molecule 1,C0063695,aapp,sICAM-1,D10037274.E132,soluble,C1749467,celc,sICAM-1
D10051471.P1,DNA hypermethylation at the D17S5 locus and reduced HIC-1 mRNA expression are       associated with hepatocarcinogenesis.,AFFECTS,VERB,associated ,D10051471.E6,Hepatocarcinogenesis,C1512409,neop,hepatocarcinogenesis,D10051471.E1,DNA hypermethylation,C2613365,genf,DNA hypermethylation
D10051471.P2,"To examine the significance of aberrant DNA methylation in hepatocarcinogenesis,        the DNA methylation status at the D17S5 locus and mRNA expression of a candidate        tumor suppressor gene, HIC-1 (hypermethylated-in-cancer), which was identified at       the D17S5 locus, in primary hepatocellular carcinomas (HCCs) and their       corresponding noncancerous liver tissues were assessed.",COEXISTS_WITH,PREP,in ,D10051471.E8,Aberrant DNA Methylation,C1510714,comd,aberrant DNA methylation,D10051471.E9,Hepatocarcinogenesis,C1512409,neop,hepatocarcinogenesis
D10051471.P3,"To examine the significance of aberrant DNA methylation in hepatocarcinogenesis,        the DNA methylation status at the D17S5 locus and mRNA expression of a candidate        tumor suppressor gene, HIC-1 (hypermethylated-in-cancer), which was identified at       the D17S5 locus, in primary hepatocellular carcinomas (HCCs) and their       corresponding noncancerous liver tissues were assessed.",ASSOCIATED_WITH,PREP,in ,D10051471.E14,Candidate Tumor Suppressor Gene,C1707257,gngm,candidate        tumor suppressor gene,D10051471.E18,Liver and Intrahepatic Biliary Tract Carcinoma,C0279000,neop,primary hepatocellular carcinomas
D10051471.P4,"DNA hypermethylation at       the D17S5 locus was detected in 44% of the noncancerous liver tissues showing       chronic hepatitis or cirrhosis, which are widely considered to be precancerous       conditions, but was not observed in noncancerous liver tissues showing no       remarkable histological findings.",LOCATION_OF,PREP,in ,D10051471.E27,Liver parenchyma,C0736268,bpoc,liver tissues,D10051471.E25,Precancerous Conditions,C0032927,neop,precancerous       conditions
D10051471.P5,The incidence of DNA hypermethylation at this       locus was significantly higher in HCCs (90%) than noncancerous liver tissues (P       <.001).,ASSOCIATED_WITH,PREP,in ,D10051471.E31,Locus,C1708726,gngm,locus,D10051471.E33,Liver carcinoma,C2239176,neop,HCCs
D10051471.P6,"Moreover,       wild-type p53 did not overcome DNA hypermethylation at the D17S5 locus to       activate HIC-1 in HCCs.",ASSOCIATED_WITH,PREP,in ,D10051471.E67,TP53 gene,7157,gngm,p53,D10051471.E72,Liver carcinoma,C2239176,neop,HCCs
D10051471.P7,These data suggest that aberrant DNA methylation at this        locus and reduced HIC-1 mRNA expression participate in hepatocarcinogenesis       during both early developmental stages and malignant progression of HCCs.,DISRUPTS,ADJ,reduced ,D10051471.E75,Locus,C1708726,gngm,locus,D10051471.E79,Hepatocarcinogenesis,C1512409,neop,hepatocarcinogenesis
D10068108.P1,Myofibroblasts are responsible for collagen synthesis in the stroma of human       hepatocellular carcinoma: an in vivo and in vitro study.,PROCESS_OF,MOD_HEAD,human       hepatocellular carcinoma:,D10068108.E5,Liver carcinoma,C2239176,neop,hepatocellular carcinoma,D10068108.E4,Homo sapiens,C0086418,humn,human
D10068108.P2,Myofibroblasts are responsible for collagen synthesis in the stroma of human       hepatocellular carcinoma: an in vivo and in vitro study.,PART_OF,PREP,of ,D10068108.E3,Stroma,C0927195,bpoc,stroma,D10068108.E5,Liver carcinoma,C2239176,neop,hepatocellular carcinoma
D10068108.P3,"BACKGROUND/AIMS: Marked changes in extracellular matrix occur in the stroma of       hepatocellular carcinoma, as compared to normal or cirrhotic liver.",PART_OF,PREP,of ,D10068108.E17,Liver,C0023884,bpoc,liver,D10068108.E14,Liver carcinoma,C2239176,neop,hepatocellular carcinoma
D10068108.P4,"BACKGROUND/AIMS: Marked changes in extracellular matrix occur in the stroma of       hepatocellular carcinoma, as compared to normal or cirrhotic liver.",PART_OF,PREP,of ,D10068108.E13,Stroma,C0927195,bpoc,stroma,D10068108.E14,Liver carcinoma,C2239176,neop,hepatocellular carcinoma
D10068108.P5,"RESULTS: All       collagens studied were expressed in the stroma of the tumor, with a higher level        of type VI and IV collagens than of type I and V.",PART_OF,VERB,expressed ,D10068108.E53,Collagen,C0009325,aapp,collagens,D10068108.E48,Stroma,C0927195,bpoc,stroma
D10068108.P6,"RESULTS: All       collagens studied were expressed in the stroma of the tumor, with a higher level        of type VI and IV collagens than of type I and V.",PART_OF,VERB,expressed ,D10068108.E47,Collagen,C0009325,aapp,collagens,D10068108.E48,Stroma,C0927195,bpoc,stroma
D10068108.P7,"RESULTS: All       collagens studied were expressed in the stroma of the tumor, with a higher level        of type VI and IV collagens than of type I and V.",PART_OF,PREP,of ,D10068108.E48,Stroma,C0927195,bpoc,stroma,D10068108.E49,Neoplasms,C0027651,neop,tumor
D10068108.P8,The majority of the cells       expressing collagen transcripts in human hepatocellular carcinoma stroma were       alpha-actin positive and CD 34 negative.,PART_OF,MOD_HEAD,hepatocellular carcinoma stroma ,D10068108.E61,Stroma,C0927195,bpoc,stroma,D10068108.E60,Liver carcinoma,C2239176,neop,hepatocellular carcinoma
D10068108.P9,The majority of the cells       expressing collagen transcripts in human hepatocellular carcinoma stroma were       alpha-actin positive and CD 34 negative.,PRODUCES,VERB,expressing ,D10068108.E56,Cells,C0007634,cell,cells,D10068108.E58,Transcript,C1519595,nnon,transcripts
D10068108.P10,"In vitro experiments demonstrated that       the hepatocellular carcinoma cell lines HepG2, HuH7 and Hep3B markedly increased        extracellular matrix deposition by human liver myofibroblasts.",PART_OF,MOD_HEAD,liver myofibroblasts.,D10068108.E75,Myofibroblasts,C0225360,cell,myofibroblasts,D10068108.E74,Liver,C0023884,bpoc,liver
D10068108.P11,CONCLUSIONS: Myofibroblasts are the main source of collagens in       the stroma of hepatocellular carcinoma.,LOCATION_OF,PREP,in ,D10068108.E93,Stroma,C0927195,bpoc,stroma,D10068108.E92,Collagen,C0009325,aapp,collagens
D10068108.P12,CONCLUSIONS: Myofibroblasts are the main source of collagens in       the stroma of hepatocellular carcinoma.,PART_OF,PREP,of ,D10068108.E93,Stroma,C0927195,bpoc,stroma,D10068108.E94,Liver carcinoma,C2239176,neop,hepatocellular carcinoma
D10068108.P13,The generation of hepatocellular       carcinoma stroma by myofibroblasts could thus be under control of tumoral cells.,PART_OF,MOD_HEAD,hepatocellular       carcinoma stroma ,D10068108.E107,Stroma,C0927195,bpoc,stroma,D10068108.E106,Liver carcinoma,C2239176,neop,hepatocellular       carcinoma
D10076051.P1,Expression of the hepatocyte growth factor-like protein gene in human       hepatocellular carcinoma and interleukin-6-induced increased expression in       hepatoma cells.,PROCESS_OF,MOD_HEAD,human       hepatocellular carcinoma ,D10076051.E4,Liver carcinoma,C2239176,neop,hepatocellular carcinoma,D10076051.E3,Homo sapiens,C0086418,humn,human
D10076051.P2,Expression of the hepatocyte growth factor-like protein gene in human       hepatocellular carcinoma and interleukin-6-induced increased expression in       hepatoma cells.,PART_OF,NOM,Expression ,D10076051.E5,Interleukin-6,C0021760,gngm,interleukin-6,D10076051.E4,Liver carcinoma,C2239176,neop,hepatocellular carcinoma
D10076051.P3,Expression of the hepatocyte growth factor-like protein gene in human       hepatocellular carcinoma and interleukin-6-induced increased expression in       hepatoma cells.,PART_OF,NOM,Expression ,D10076051.E1,macrophage stimulating protein,C0218448,gngm,hepatocyte growth factor-like protein,D10076051.E4,Liver carcinoma,C2239176,neop,hepatocellular carcinoma
D10076051.P4,Human hepatocellular carcinoma is one of the most frequent malignant tumors.,PROCESS_OF,MOD_HEAD,Human hepatocellular carcinoma ,D10076051.E10,Liver carcinoma,C2239176,neop,hepatocellular carcinoma,D10076051.E9,Homo sapiens,C0086418,humn,Human
D10076051.P5,The present study is the result of our search for genes which may be       abundantly expressed in human primary liver carcinoma.,PROCESS_OF,MOD_HEAD,human primary liver carcinoma.,D10076051.E26,Liver and Intrahepatic Biliary Tract Carcinoma,C0279000,neop,primary liver carcinoma,D10076051.E25,Homo sapiens,C0086418,humn,human
D10076051.P6,The present study is the result of our search for genes which may be       abundantly expressed in human primary liver carcinoma.,PART_OF,VERB,expressed ,D10076051.E24,Genes,C0017337,gngm,genes,D10076051.E26,Liver and Intrahepatic Biliary Tract Carcinoma,C0279000,neop,primary liver carcinoma
D10076051.P7,HGFLP mRNA was also       found to be overexpressed in a hepatoblastoma sample and in a sample of subacute        fulminant hepatic necrosis.,ASSOCIATED_WITH,PREP,in ,D10076051.E41,"RNA, Messenger",C0035696,bacs,mRNA,D10076051.E42,Hepatoblastoma,C0206624,neop,hepatoblastoma
D10076051.P8,"In a study on the effects of cytokines on the       expression of HGFLP, we found that IL-6 increased expression of HGFLP mRNA in Hep       G2 cells, but IL-1alpha, IL-1beta and TNF-alpha had no effect.",PART_OF,NOM,expression ,D10076051.E55,"RNA, Messenger",C0035696,bacs,mRNA,D10076051.E56,Hep G2 Cells,C2717940,cell,Hep       G2 cells
D10076051.P9,"In a study on the effects of cytokines on the       expression of HGFLP, we found that IL-6 increased expression of HGFLP mRNA in Hep       G2 cells, but IL-1alpha, IL-1beta and TNF-alpha had no effect.",INTERACTS_WITH,NOM,effects ,D10076051.E50,macrophage stimulating protein,C0218448,aapp,HGFLP,D10076051.E48,cytokine,C0079189,aapp,cytokines
D10081488.P1,Expression of MRP and cMOAT in childhood neuroblastomas and malignant liver       tumors and its relevance to clinical behavior.,ASSOCIATED_WITH,PREP,in ,D10081488.E2,multidrug resistance-associated protein 2,C0525410,aapp,cMOAT,D10081488.E4,Neuroblastoma,C0027819,neop,neuroblastomas
D10081488.P2,Expression of MRP and cMOAT in childhood neuroblastomas and malignant liver       tumors and its relevance to clinical behavior.,ASSOCIATED_WITH,PREP,in ,D10081488.E2,multidrug resistance-associated protein 2,C0525410,aapp,cMOAT,D10081488.E5,Malignant neoplasm of liver,C0345904,neop,malignant liver       tumors
D10081488.P3,Expression of MRP and cMOAT in childhood neuroblastomas and malignant liver       tumors and its relevance to clinical behavior.,ASSOCIATED_WITH,PREP,in ,D10081488.E1,Multidrug Resistance Associated Protein 1,C0906368,aapp,MRP,D10081488.E4,Neuroblastoma,C0027819,neop,neuroblastomas
D10081488.P4,Expression of MRP and cMOAT in childhood neuroblastomas and malignant liver       tumors and its relevance to clinical behavior.,ASSOCIATED_WITH,PREP,in ,D10081488.E1,Multidrug Resistance Associated Protein 1,C0906368,aapp,MRP,D10081488.E5,Malignant neoplasm of liver,C0345904,neop,malignant liver       tumors
D10081488.P5,Advanced neuroblastoma and malignant liver tumor are representative childhood       cancers for which combined chemotherapy including cisplatin and doxorubicin is       routinely performed.,ISA,SPEC,neuroblastoma and malignant liver tumor are representative childhood       cancers ,D10081488.E9,Neuroblastoma,C0027819,neop,neuroblastoma,D10081488.E12,Malignant Childhood Neoplasm,C0278704,neop,childhood       cancers
D10081488.P6,The prognosis of patients with tumors which develop multiple       drug resistance (MDR) is unfavorable.,PROCESS_OF,PREP,with ,D10081488.E17,Neoplasms,C0027651,neop,tumors,D10081488.E16,Patients,C0030705,humn,patients
D10081488.P7,"To elucidate the role of multidrug       resistance-associated protein (MRP) and canalicular multispecific organic anion       transporter (cMOAT) in the clinical behavior of the tumors, we examined 42       neuroblastomas and 10 malignant liver tumors for the expressions of MRP and cMOAT       by quantitative RNA-polymerase chain reaction (PCR).",PART_OF,NOM,expressions ,D10081488.E21,multidrug resistance-associated protein 2,C0525410,bacs,canalicular multispecific organic anion       transporter,D10081488.E27,Multidrug Resistance Associated Protein 1,C0906368,aapp,MRP
D10081488.P8,"To elucidate the role of multidrug       resistance-associated protein (MRP) and canalicular multispecific organic anion       transporter (cMOAT) in the clinical behavior of the tumors, we examined 42       neuroblastomas and 10 malignant liver tumors for the expressions of MRP and cMOAT       by quantitative RNA-polymerase chain reaction (PCR).",PART_OF,NOM,expressions ,D10081488.E20,Multidrug Resistance Associated Protein 1,C0906368,bacs,multidrug       resistance-associated protein,D10081488.E28,multidrug resistance-associated protein 2,C0525410,aapp,cMOAT
D10081488.P9,The amplification and       expression of N-myc oncogene in the neuroblastomas were also investigated.,PART_OF,NOM,expression ,D10081488.E32,N-myc Genes,4609,gngm,N-myc oncogene,D10081488.E33,Neuroblastoma,C0027819,neop,neuroblastomas
D10081488.P10,We       found a close association between MRP and N-myc expression in each neuroblastoma        sample but no significant relationship between MRP expression and the patients'       outcome.,PART_OF,NOM,expression ,D10081488.E36,MYCN gene,4613,gngm,N-myc,D10081488.E37,Neuroblastoma,C0027819,neop,neuroblastoma
D10081488.P11,We       found a close association between MRP and N-myc expression in each neuroblastoma        sample but no significant relationship between MRP expression and the patients'       outcome.,PART_OF,NOM,expression ,D10081488.E35,ABCC1 gene,4363,gngm,MRP,D10081488.E37,Neuroblastoma,C0027819,neop,neuroblastoma
D10081488.P12,The forced expression of N-myc failed to enhance the expression of MRP       in N-myc transfected neuroblastoma cell lines.,STIMULATES,VERB,enhance ,D10081488.E44,MYCN gene,4613,gngm,N-myc,D10081488.E45,ABCC1 gene,4363,gngm,MRP
D10081488.P13,The forced expression of N-myc failed to enhance the expression of MRP       in N-myc transfected neuroblastoma cell lines.,COEXISTS_WITH,PREP,in ,D10081488.E45,ABCC1 gene,4363,gngm,MRP,D10081488.E46,MYCN gene,4613,gngm,N-myc
D10081488.P14,"cMOAT was rarely expressed in the        neuroblastomas, but was frequently expressed in the malignant liver tumors.",PART_OF,VERB,expressed ,D10081488.E49,multidrug resistance-associated protein 2,C0525410,gngm,cMOAT,D10081488.E51,Neuroblastoma,C0027819,neop,neuroblastomas
D10081488.P15,"The       expression of MRP and cMOAT in the childhood liver tumors was more common and       higher, especially in advanced cases with a poor outcome, than that observed in       normal liver or in 9 hepatocellular carcinomas from adult patients.",ASSOCIATED_WITH,PREP,in ,D10081488.E55,multidrug resistance-associated protein 2,C0525410,aapp,cMOAT,D10081488.E56,childhood hepatocellular carcinoma,C0279606,neop,childhood liver tumors
D10081488.P16,"The       expression of MRP and cMOAT in the childhood liver tumors was more common and       higher, especially in advanced cases with a poor outcome, than that observed in       normal liver or in 9 hepatocellular carcinomas from adult patients.",ASSOCIATED_WITH,PREP,in ,D10081488.E54,Multidrug Resistance Associated Protein 1,C0906368,aapp,MRP,D10081488.E56,childhood hepatocellular carcinoma,C0279606,neop,childhood liver tumors
D10189890.P1,Expression of the Wilms' tumor gene WT1 in solid tumors and its involvement in       tumor cell growth.,PART_OF,NOM,Expression ,D10189890.E2,WT-1,7490,gngm,WT1,D10189890.E3,solid tumor,C0280100,neop,solid tumors
D10189890.P2,"To determine the role of the Wilms' tumor gene WT1 in tumorigenesis of solid       tumors, expression of the WT1 gene was examined in 34 solid tumor cell lines       (four gastric cancer cell lines, five colon cancer cell lines, 15 lung cancer       cell lines, four breast cancer cell lines, one germ cell tumor cell line, two       ovarian cancer cell lines, one uterine cancer cell line, one thyroid cancer cell        line, and one hepatocellular carcinoma cell line) by means of quantitative       reverse transcriptase-polymerase chain reaction.",ASSOCIATED_WITH,NOM,role ,D10189890.E7,WT-1,7490,gngm,WT1,D10189890.E8,Neoplastic Cell Transformation,C0007621,neop,tumorigenesis
D10189890.P3,"Three cell lines expressing WT1 (gastric cancer cell line       AZ-521, lung cancer cell line OS3, and ovarian cancer cell line TYK-nu) were       further analyzed for mutations and/or deletions in the WT1 gene by means of       single-strand conformation polymorphism analysis.",PRODUCES,VERB,expressing ,D10189890.E75,Cultured Cell Line,C0007600,cell,cell lines,D10189890.E87,PSMA1 gene,5682,aapp,nu)
D10189890.P4,"Three cell lines expressing WT1 (gastric cancer cell line       AZ-521, lung cancer cell line OS3, and ovarian cancer cell line TYK-nu) were       further analyzed for mutations and/or deletions in the WT1 gene by means of       single-strand conformation polymorphism analysis.",PRODUCES,VERB,expressing ,D10189890.E75,Cultured Cell Line,C0007600,cell,cell lines,D10189890.E76,WT-1,7490,aapp,WT1
D10189890.P5,"Furthermore, constitute expression of the       transfected WT1 gene in cancer cells inhibited the antisense effect of WT1       antisense oligomer on cell growth.",PART_OF,NOM,expression ,D10189890.E113,WT1 gene,7490,gngm,WT1 gene,D10189890.E114,"Tumor cells, malignant",C0334227,cell,cancer cells
