,S_name,O_name,label,title,from,to,arrows,color,id
15,solid tumor,Growth,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10189890' target='_blank'>These results indicated that the WT1 gene       plays an essential role in the growth of solid tumors and performs an oncogenic       rather than a tumor-suppressor gene function.</br></a><font color='red'>solid tumors</font> <font color='blue'>plays an essential role </font> <font color='green'>growth</font></p>,9,138,to,COMPLEX,14
16,FUSE gene,Liver carcinoma,TREATS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10190313' target='_blank'>This study explores the use of a liver-specific albumin promoter and a       tumor-specific alpha-fetoprotein (AFP) enhancer to achieve the regulated       expression of the cytokine interleukin-2/interferon alpha2b (IL-2/IFNalpha2b)       fused gene for treatment of hepatocellular carcinoma (HCC).</br></a><font color='red'>fused gene</font> <font color='blue'>treatment </font> <font color='green'>hepatocellular carcinoma</font></p>,10,106,to,NOM,15
17,Autoantigens,Liver carcinoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10190901' target='_blank'>A novel cytoplasmic protein with RNA-binding motifs is an autoantigen in human       hepatocellular carcinoma.</br></a><font color='red'>autoantigen</font> <font color='blue'>in </font> <font color='green'>hepatocellular carcinoma</font></p>,11,106,to,PREP,16
18,APC gene,Malignant tumor of colon,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10201372' target='_blank'>Mutations in the adenomatous polyposis coli (APC) tumour-suppressor gene occur in       most human colon cancers.</br></a><font color='red'>adenomatous polyposis coli</font> <font color='blue'>adenomatous polyposis coli (APC) tumour-suppressor gene </font> <font color='green'>colon cancers</font></p>,12,139,to,INFER,17
19,Tumor Suppressor Genes,Malignant tumor of colon,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10201372' target='_blank'>Mutations in the adenomatous polyposis coli (APC) tumour-suppressor gene occur in       most human colon cancers.</br></a><font color='red'>tumour-suppressor gene</font> <font color='blue'>in </font> <font color='green'>colon cancers</font></p>,13,139,to,PREP,18
20,CTNNB1 gene,Malignant tumor of colon,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10201372' target='_blank'>Mutant forms of beta-catenin have been discovered       in colon cancers that retain wild-type APC genes, and also in melanomas,       medulloblastomas, prostate cancer and gastric and hepatocellular carcinomas.</br></a><font color='red'>beta-catenin</font> <font color='blue'>in </font> <font color='green'>colon cancers</font></p>",14,139,to,PREP,19
21,APC gene,Medulloblastoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10201372' target='_blank'>Mutant forms of beta-catenin have been discovered       in colon cancers that retain wild-type APC genes, and also in melanomas,       medulloblastomas, prostate cancer and gastric and hepatocellular carcinomas.</br></a><font color='red'>APC genes</font> <font color='blue'>in </font> <font color='green'>medulloblastomas</font></p>",12,140,to,PREP,20
22,APC gene,melanoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10201372' target='_blank'>Mutant forms of beta-catenin have been discovered       in colon cancers that retain wild-type APC genes, and also in melanomas,       medulloblastomas, prostate cancer and gastric and hepatocellular carcinomas.</br></a><font color='red'>APC genes</font> <font color='blue'>in </font> <font color='green'>melanomas</font></p>",12,141,to,PREP,21
23,APC gene,Malignant neoplasm of prostate,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10201372' target='_blank'>Mutant forms of beta-catenin have been discovered       in colon cancers that retain wild-type APC genes, and also in melanomas,       medulloblastomas, prostate cancer and gastric and hepatocellular carcinomas.</br></a><font color='red'>APC genes</font> <font color='blue'>in </font> <font color='green'>prostate cancer</font></p>",12,142,to,PREP,22
24,APC gene,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10201372' target='_blank'>Mutant forms of beta-catenin have been discovered       in colon cancers that retain wild-type APC genes, and also in melanomas,       medulloblastomas, prostate cancer and gastric and hepatocellular carcinomas.</br></a><font color='red'>APC genes</font> <font color='blue'>in </font> <font color='green'>hepatocellular carcinomas</font></p>",12,106,to,PREP,23
25,Hepatitis B Antigens,Hepatocarcinogenesis,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10208429' target='_blank'>The translation initiation factor, hu-Sui1 may be a target of hepatitis B X       antigen in hepatocarcinogenesis.</br></a><font color='red'>hepatitis B X       antigen</font> <font color='blue'>in </font> <font color='green'>hepatocarcinogenesis</font></p>",15,1,to,PREP,24
26,Cytotoxic Chemotherapy,Liver carcinoma,TREATS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10209305' target='_blank'>Classical cytotoxic therapy has been minimally useful in the treatment of       hepatocellular carcinoma.</br></a><font color='red'>cytotoxic therapy</font> <font color='blue'>treatment </font> <font color='green'>hepatocellular carcinoma</font></p>,16,106,to,NOM,25
27,Signal Transduction Pathways,Growth,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10209305' target='_blank'>In an effort to develop a new approach to the treatment       of this neoplasm, we have investigated the signal transduction pathways       regulating the growth of human hepatoma cells.</br></a><font color='red'>signal transduction pathways</font> <font color='blue'>regulating </font> <font color='green'>growth</font></p>",17,138,to,VERB,26
28,Pathogenesis,Proliferating Cell Nuclear Antigen,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10209305' target='_blank'>Furthermore, cyclin A deregulation has been implicated in the pathogenesis of       hepatocellular carcinoma.</br></a><font color='red'>pathogenesis</font> <font color='blue'>implicated </font> <font color='green'>cyclin</font></p>",18,143,to,VERB,27
29,"INSR protein, human",Liver diseases,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10210639' target='_blank'>Human insulin receptor and insulin signaling proteins in hepatic disease.</br></a><font color='red'>Human insulin receptor</font> <font color='blue'>in </font> <font color='green'>hepatic disease</font></p>,19,144,to,PREP,28
30,insulin receptor substrate 1 protein,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10210639' target='_blank'>Although an altered       mass of IRS-1 protein was not observed in HCC, an IRS-1 increase in cirrhosis may       favor hepatic regeneration.</br></a><font color='red'>IRS-1 protein</font> <font color='blue'>in </font> <font color='green'>HCC</font></p>",20,106,to,PREP,29
31,PROC wt Allele,Intrahepatic Cholangiocarcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10212000' target='_blank'>Mutation of p53 and K-ras, and loss of heterozygosity of APC in intrahepatic       cholangiocarcinoma.</br></a><font color='red'>APC</font> <font color='blue'>in </font> <font color='green'>intrahepatic       cholangiocarcinoma</font></p>",21,145,to,PREP,30
32,TP53 gene,Intrahepatic Cholangiocarcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10212000' target='_blank'>The analysis of the clinicopathologic findings disclosed a significant       relationship between the genetic alteration and gross type of the tumor: the p53        mutation was prominent in the ICC of mass-forming type, and K-ras mutation       occurred more frequently in the ICC of periductal extension type (p < 0.05).</br></a><font color='red'>p53</font> <font color='blue'>in </font> <font color='green'>ICC</font></p>",4,145,to,PREP,31
33,TP53 gene,Growth pattern,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10212000' target='_blank'>These data suggest that each of the examined genes is involved in the development       of ICC and that the p53 and K-ras mutation may play a role in the tumor growth       pattern.</br></a><font color='red'>p53</font> <font color='blue'>play a role </font> <font color='green'>growth       pattern</font></p>,4,146,to,COMPLEX,32
34,Alkaloids,Inflammation,TREATS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10223233' target='_blank'>BACKGROUND: Berberine, one of the major constitutents of alkaloids of Coptis       chinensis is frequently utilized in the treatment of inflammation and       liver-related diseases.</br></a><font color='red'>alkaloids</font> <font color='blue'>treatment </font> <font color='green'>inflammation</font></p>",22,147,to,NOM,33
35,Berberine,Homo sapiens,TREATS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10223233' target='_blank'>METHODS: Human and murine hepatoma cells       were treated with berberine (0.32, 3.2, 32, and 320 microM), tamoxifen (1       microM), or verapamil (10 microM) for 24 hours.</br></a><font color='red'>berberine</font> <font color='blue'>treated </font> <font color='green'>Human</font></p>",23,148,to,VERB,34
36,CA-19-9 Antigen,Adenocarcinoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10232599' target='_blank'>The selectin ligand components sialyl Lewis x and       sialyl Lewis a are oncodevelopmental antigens involved in progression of       adenocarcinoma.</br></a><font color='red'>sialyl Lewis a</font> <font color='blue'>selectin ligand components sialyl Lewis x and       sialyl Lewis a are oncodevelopmental antigens </font> <font color='green'>adenocarcinoma</font></p>,24,149,to,INFER,35
37,Selectins,Adenocarcinoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10232599' target='_blank'>The selectin ligand components sialyl Lewis x and       sialyl Lewis a are oncodevelopmental antigens involved in progression of       adenocarcinoma.</br></a><font color='red'>selectin</font> <font color='blue'>selectin ligand components sialyl Lewis x and       sialyl Lewis a are oncodevelopmental antigens </font> <font color='green'>adenocarcinoma</font></p>,25,149,to,INFER,36
38,Antigens,Adenocarcinoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10232599' target='_blank'>The selectin ligand components sialyl Lewis x and       sialyl Lewis a are oncodevelopmental antigens involved in progression of       adenocarcinoma.</br></a><font color='red'>antigens</font> <font color='blue'>involved </font> <font color='green'>adenocarcinoma</font></p>,26,149,to,VERB,37
39,Glycoprotein 6-alpha-L-fucosyltransferase,Liver neoplasms,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10232614' target='_blank'>To understand the biological meaning of the alpha1-6FucT in       hepatoma, especially in terms of metastasis, we established human hepatoma cell       lines, which express high levels of alpha1-6FucT by transfection of the       alpha1-6FucT gene and investigated intrahepatic metastasis after splenic       injection to athymic mice.</br></a><font color='red'>alpha1-6FucT</font> <font color='blue'>in </font> <font color='green'>hepatoma</font></p>",27,74,to,PREP,38
40,TP53 gene,Apoptosis,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10321688' target='_blank'>Mad-overexpression down regulates the malignant growth and p53 mediated apoptosis       in human hepatocellular carcinoma BEL-7404 cells.</br></a><font color='red'>p53</font> <font color='blue'>mediated </font> <font color='green'>apoptosis</font></p>,4,150,to,VERB,39
41,,cell growth,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10321688' target='_blank'>Thus, Mad proteins may function as a        negative regulator antagonizing c-Myc activity in the control of cell growth and        apoptosis in human hepatocellular carcinoma BEL-7404 cells.</br></a><font color='red'>Myc</font> <font color='blue'>control </font> <font color='green'>cell growth</font></p>",NA,151,to,NOM,40
42,,Apoptosis,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10321688' target='_blank'>Thus, Mad proteins may function as a        negative regulator antagonizing c-Myc activity in the control of cell growth and        apoptosis in human hepatocellular carcinoma BEL-7404 cells.</br></a><font color='red'>Myc</font> <font color='blue'>control </font> <font color='green'>apoptosis</font></p>",NA,150,to,NOM,41
43,SMAD4 gene,Colorectal Neoplasms,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10340381' target='_blank'>To clarify       the target of 18qLOH, mutation of Smad4 and Smad2 genes was analysed in 176       colorectal tumors with different stages, including liver metastasis, from 111       sporadic, 52 familial adenomatous polyposis (FAP) and nine hereditary       nonpolyposis colorectal cancer (HNPCC) patients.</br></a><font color='red'>Smad4</font> <font color='blue'>in </font> <font color='green'>colorectal tumors</font></p>",29,152,to,PREP,42
44,SMAD2 gene,Colorectal Neoplasms,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10340381' target='_blank'>To clarify       the target of 18qLOH, mutation of Smad4 and Smad2 genes was analysed in 176       colorectal tumors with different stages, including liver metastasis, from 111       sporadic, 52 familial adenomatous polyposis (FAP) and nine hereditary       nonpolyposis colorectal cancer (HNPCC) patients.</br></a><font color='red'>Smad2 genes</font> <font color='blue'>in </font> <font color='green'>colorectal tumors</font></p>",30,152,to,PREP,43
45,SMAD4 gene,Carcinogenesis,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10340381' target='_blank'>The present results suggest that Smad4 gene is one of true targets of        18qLOH, and that its inactivation is involved in advanced stages, such as distant       metastasis, in human colorectal carcinogenesis.</br></a><font color='red'>Smad4 gene</font> <font color='blue'>in </font> <font color='green'>carcinogenesis</font></p>",29,153,to,PREP,44
46,Lung Neoplasms,genotoxicity,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10353384' target='_blank'>For example: (1) ozone-induced lung neoplasms had two unique       mutations, one (codon 61 K-ras CTA mutation) consistent with a direct genotoxic       event and a second (codon 12 K-ras G --> T transversion) consistent with an       indirect genotoxic effect; (2) isoprene-induced Harderian gland neoplasms had a       unique K-ras A --> T transversion at codon 61 which provided evidence that       formation of an epoxide intermediate was involved; (3) 1,3-butadiene-induced       neoplasms had a characteristic K-ras G --> C transversion mutation at codon 13       which was also consistent with a chemical-specific effect; (4) methylene       chloride-induced liver neoplasms had an H-ras mutation profile at codon 61       similar to that of spontaneous tumours, suggesting that methylene chloride       promotes cells with 'spontaneously initiated' ras mutations and (5)       oxazepam-induced liver neoplasms had a low frequency of ras mutations, suggesting       a nonmutagenic pathway of carcinogenesis.</br></a><font color='red'>lung neoplasms</font> <font color='blue'>effect;</font> <font color='green'>genotoxic</font></p>",31,154,to,NOM,45
47,Growth Factor,Liver carcinoma,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10374394' target='_blank'>Alterations of oncogenes, tumor suppressor genes and growth factors in       hepatocellular carcinoma: with relation to tumor size and invasiveness.</br></a><font color='red'>growth factors</font> <font color='blue'>Alterations </font> <font color='green'>hepatocellular carcinoma</font></p>",32,106,to,NOM,46
48,Oncogenes,Liver carcinoma,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10374394' target='_blank'>Alterations of oncogenes, tumor suppressor genes and growth factors in       hepatocellular carcinoma: with relation to tumor size and invasiveness.</br></a><font color='red'>oncogenes</font> <font color='blue'>Alterations </font> <font color='green'>hepatocellular carcinoma</font></p>",33,106,to,NOM,47
49,Tumor Suppressor Genes,Liver carcinoma,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10374394' target='_blank'>Alterations of oncogenes, tumor suppressor genes and growth factors in       hepatocellular carcinoma: with relation to tumor size and invasiveness.</br></a><font color='red'>tumor suppressor genes</font> <font color='blue'>Alterations </font> <font color='green'>hepatocellular carcinoma</font></p>",13,106,to,NOM,48
50,TP53 gene,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10374394' target='_blank'>RESULTS: The       aberration rates of p53 and CDKN2 in HCC were 45.9% and 36.4% respectively, which       were higher in invasive HCC compared with non-invasive HCC.</br></a><font color='red'>p53</font> <font color='blue'>in </font> <font color='green'>HCC</font></p>",4,106,to,PREP,49
51,CDKN2A gene,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10374394' target='_blank'>RESULTS: The       aberration rates of p53 and CDKN2 in HCC were 45.9% and 36.4% respectively, which       were higher in invasive HCC compared with non-invasive HCC.</br></a><font color='red'>CDKN2</font> <font color='blue'>in </font> <font color='green'>HCC</font></p>",34,106,to,PREP,50
52,Transforming Growth Factor alpha,Recurrent Malignant Neoplasm,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10374394' target='_blank'>The expression of       EGFR was closely related to TGF-alpha, which was related to HCC recurrence.</br></a><font color='red'>TGF-alpha</font> <font color='blue'>related </font> <font color='green'>recurrence</font></p>",35,155,to,VERB,51
53,Growth Factor,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10374394' target='_blank'>The       alterative rates of above-mentioned genes and growth factors in small HCC were       slightly lower than that in large ones, but no significant difference was shown       except the p53 mutation.</br></a><font color='red'>growth factors</font> <font color='blue'>in </font> <font color='green'>HCC</font></p>",32,106,to,PREP,52
54,HRAS gene,Recurrent Malignant Neoplasm,TREATS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10374394' target='_blank'>H-ras       antisense gene might be of potential implication in the control of HCC recurrence       and metastasis.</br></a><font color='red'>H-ras       antisense gene</font> <font color='blue'>control </font> <font color='green'>recurrence</font></p>,36,155,to,NOM,53
55,HRAS gene,Secondary Neoplasm,TREATS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10374394' target='_blank'>H-ras       antisense gene might be of potential implication in the control of HCC recurrence       and metastasis.</br></a><font color='red'>H-ras       antisense gene</font> <font color='blue'>control </font> <font color='green'>metastasis</font></p>,36,156,to,NOM,54
56,APC gene,Hepatocarcinogenesis,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10381126' target='_blank'>To define the possible role of mutations of       the APC gene in hepatocarcinogenesis, we examined 46 pairs of hepatocellular       carcinomas and corresponding non-tumorous liver tissue by polymerase chain       reaction and single strand conformation polymorphism.</br></a><font color='red'>APC gene</font> <font color='blue'>role </font> <font color='green'>hepatocarcinogenesis</font></p>",12,1,to,NOM,55
57,TP53 gene,Hereditary hemochromatosis,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10381922' target='_blank'>p53 mutations in british patients with hepatocellular carcinoma: clustering in       genetic hemochromatosis.</br></a><font color='red'>p53</font> <font color='blue'>in </font> <font color='green'>genetic hemochromatosis</font></p>,4,157,to,PREP,56
58,TP53 gene,Neoplastic Cell Transformation,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10381922' target='_blank'>We have investigated the role of       p53 mutations in tumorigenesis in British patients with HCC.</br></a><font color='red'>p53</font> <font color='blue'>role </font> <font color='green'>tumorigenesis</font></p>,4,113,to,NOM,57
59,3-nitrotyrosine,Rat Hepatic Neoplasm,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10383909' target='_blank'>Immunohistochemical localization of inducible nitric oxide synthase and       3-nitrotyrosine in rat liver tumors induced by N-nitrosodiethylamine.</br></a><font color='red'>3-nitrotyrosine</font> <font color='blue'>in </font> <font color='green'>rat liver tumors</font></p>,37,158,to,PREP,58
60,"NOS2A protein, human",Rat Hepatic Neoplasm,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10383909' target='_blank'>Immunohistochemical localization of inducible nitric oxide synthase and       3-nitrotyrosine in rat liver tumors induced by N-nitrosodiethylamine.</br></a><font color='red'>inducible nitric oxide synthase</font> <font color='blue'>in </font> <font color='green'>rat liver tumors</font></p>,38,158,to,PREP,59
61,Oligodeoxyribonucleotides,autocrine,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10385405' target='_blank'>Interruption of activin A autocrine regulation by antisense oligodeoxynucleotides       accelerates liver tumor cell proliferation.</br></a><font color='red'>oligodeoxynucleotides</font> <font color='blue'>regulation </font> <font color='green'>autocrine</font></p>,39,159,to,NOM,60
62,activin A,Growth,AFFECTS,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10385405' target='_blank'>However, a role of endogenous activin A in local growth modulation has not        been established in any system.</br></a><font color='red'>activin A</font> <font color='blue'>role </font> <font color='green'>growth</font></p>",40,138,to,NOM,61
63,Aim,autocrine,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10385405' target='_blank'>The aim of this study was to examine the       production of activin A in the human hepatoma cell line HLF and to explore a       possible autocrine role of activin as a cell growth inhibitor by blocking       production of endogenous activin using antisense oligodeoxynucleotides.</br></a><font color='red'>aim</font> <font color='blue'>role </font> <font color='green'>autocrine</font></p>,41,159,to,NOM,62
64,beta-Chemokines,Malignant neoplasm of liver,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10385645' target='_blank'>Expression and function of CXC and CC chemokines in human malignant liver tumors:       a role for human monokine induced by gamma-interferon in lymphocyte recruitment       to hepatocellular carcinoma.</br></a><font color='red'>CC chemokines</font> <font color='blue'>in </font> <font color='green'>malignant liver tumors</font></p>,42,132,to,PREP,63
65,chemokine,Cell Adhesion,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10385645' target='_blank'>Chemotactic cytokines (chemokines) play an important role in the recruitment of       lymphocytes to tissue by regulating cellular adhesion and transendothelial       migration.</br></a><font color='red'>Chemotactic cytokines</font> <font color='blue'>regulating </font> <font color='green'>cellular adhesion</font></p>,43,160,to,VERB,64
