id,cui,name,semtypes,text,entrezID,entrezName
D10029060.E30,C1545588,Protection,fndg,protection,,
D10029060.E31,C0596321,Chemical Carcinogenesis,neop,chemical carcinogenesis,,
D10029060.E32,C0205102,Internal,spco,internal,,
D10029060.E33,C0178784,Organ,bpoc,organs,,
D10029060.E34,C1421540,XPC gene,gngm,XPC,7508,XPC
D10029060.E35,C0596988,mutant,comd,mutant,,
D10029060.E36,C1421540,XPC gene,gngm,XPC,7508,XPC
D10029060.E37,C0026809,Mus,mamm,mice,,
D10029060.E38,C0000248,2-Acetylaminofluorene,"hops,irda,orch",2-acetylaminofluorene,,
D10029060.E39,C0001034,Acetylaminofluorene,"hops,orch",acetylaminofluorene,,
D10029060.E40,C0205250,High,qlco,higher,,
D10029060.E41,C0021149,Incidence,qnco,incidence,,
D10029060.E42,C0007994,chemically induced,patf,chemically induced,,
D10029060.E43,C0023884,Liver,bpoc,liver,,
D10029060.E44,C0024121,Lung Neoplasms,neop,lung       tumors,,
D10029060.E45,C1421540,XPC gene,gngm,XPC,7508,XPC
D10029060.E46,C0026809,Mus,mamm,mice,,
D10029060.E47,C0205307,Normal,qlco,normal,,
D10029060.E48,C0019425,Heterozygote,orga,heterozygous,,
D10029060.E49,C0449258,Progression,ftcn,progression,,
D10029060.E50,C0023903,Liver neoplasms,neop,liver tumors,,
D10029060.E51,C1421540,XPC gene,gngm,XPC,7508,XPC
D10029060.E52,C0079419,TP53 gene,gngm,Trp53,7157,TP53
D10029060.E53,C0026809,Mus,mamm,mice,,
D10029060.E54,C1421540,XPC gene,gngm,XPC,7508,XPC
D10029060.E55,C0079419,TP53 gene,gngm,Trp53,7157,TP53
D10029060.E56,C3540698,animal allergen extracts,phsu,animals,,
D10029060.E57,C0205250,High,qlco,higher,,
D10029060.E58,C0021149,Incidence,qnco,incidence,,
D10029060.E59,C0205359,Spontaneous,ftcn,spontaneous,,
D10029060.E60,C0039590,Testicular Neoplasms,neop,testicular tumors,,
D10029060.E61,C3273670,DNA Repair Protein Complementing XP-C Cells,aapp,XPC,7508,XPC
D10029060.E62,C1860823,"Trichorhinophalangeal Syndrome, Type III",dsyn,TrpS3,,
D10029060.E63,C1705764,Doubling,acty,double,,
D10029060.E64,C0596988,mutant,comd,mutant,,
D10029060.E65,C0026809,Mus,mamm,mice,,
D10029060.E66,C1421540,XPC gene,gngm,XPC,7508,XPC
D10029060.E67,C0079419,TP53 gene,gngm,Trp53,7157,TP53
D10029060.E68,C0026809,Mus,mamm,mice,,
D10037274.E1,C2939419,Secondary Neoplasm,neop,metastasis,,
D10037274.E2,C0279000,Liver and Intrahepatic Biliary Tract Carcinoma,neop,liver cancer,,
D10037274.E3,C0063695,Intercellular adhesion molecule 1,"aapp,imft",intercellular adhesion       molecule 1,,
D10037274.E4,C1285529,Purpose,ftcn,PURPOSE,,
D10037274.E5,C0439849,Relationships,qlco,relationship,,
D10037274.E6,C0063695,Intercellular adhesion molecule 1,"aapp,imft",intercellular adhesion molecule 1,,
D10037274.E7,C0494165,Secondary malignant neoplasm of liver,neop,liver cancer metastasis,,
D10037274.E8,C1521761,Factor,ftcn,factors,,
D10037274.E9,C0018270,Growth,orgf,growth,,
D10037274.E10,C2939419,Secondary Neoplasm,neop,metastasis,,
D10037274.E11,C0279000,Liver and Intrahepatic Biliary Tract Carcinoma,neop,liver cancer,,
D10037274.E12,C0449851,Techniques,ftcn,METHODS,,
D10037274.E13,C0063695,Intercellular adhesion molecule 1,"aapp,imft",ICAM-1,,
D10037274.E14,C1519521,Fresh Tissue,tisu,fresh tissue,,
D10037274.E15,C0577059,Liver normal,fndg,normal liver,,
D10037274.E16,C0345904,Malignant neoplasm of liver,neop,hepatocellular cancer,,
D10037274.E17,C0021067,Immunoperoxidase Techniques,lbpr,immunoperoxidase staining,,
D10037274.E18,C0229671,Serum,bdsu,Serum,,
D10037274.E19,C1749467,soluble,celc,soluble,,
D10037274.E20,C0063695,Intercellular adhesion molecule 1,"aapp,imft",intercellular adhesion molecule 1,,
D10037274.E21,C0030705,Patients,podg,patients,,
D10037274.E22,C0345904,Malignant neoplasm of liver,neop,HCC,,
D10037274.E23,C0086692,Benign Neoplasm,neop,benign HCC tumor,,
D10037274.E24,C0063695,Intercellular adhesion molecule 1,"aapp,imft",ICAM-1,,
D10037274.E25,C0040732,Transplantation,topp,transplanted,,
D10037274.E26,C0231990,Lung clearance index,lbtr,LCI-D20,,
D10037274.E27,C0027651,Neoplasms,neop,tumor,,
D10037274.E28,C1425014,NDE1 gene,gngm,nude,54820,NDE1
D10037274.E29,C0494165,Secondary malignant neoplasm of liver,neop,liver cancer       metastasis,,
D10037274.E30,C2986594,Mouse Model,emod,mouse liver cancer       metastasis model,,
D10037274.E31,C0086418,Homo sapiens,humn,human,,
D10037274.E32,C0023903,Liver neoplasms,neop,hepatoma,,
D10037274.E33,C0027651,Neoplasms,neop,tumor,,
D10037274.E34,C0577059,Liver normal,fndg,normal        liver,,
D10037274.E35,C0013064,Dot Immunoblotting,lbpr,dot blot,,
D10037274.E36,C0449851,Techniques,ftcn,method,,
D10037274.E37,C0063695,Intercellular adhesion molecule 1,"aapp,imft",ICAM-1,,
D10037274.E38,C0035696,"RNA, Messenger","bacs,nnon",mRNA,,
D10037274.E39,C0441889,Levels (qualifier value),qlco,level,,
D10037274.E40,C0005861,Northern Blotting,mbrt,Northern blotting,,
D10037274.E41,C1274040,Result,ftcn,RESULTS,,
D10037274.E42,C0063695,Intercellular adhesion molecule 1,"aapp,imft",ICAM-1,,
D10037274.E43,C3842589,20%,fndg,LD1-20,,
D10037274.E44,C0494165,Secondary malignant neoplasm of liver,neop,metastatic liver cancer,,
D10037274.E45,C1446409,Positive,qlco,positive,,
D10037274.E46,C1707520,Correlation,qlco,correlation,,
D10037274.E47,C0475440,Tumor size,spco,tumor size,,
D10037274.E48,C0040223,Time,tmco,time,,
D10037274.E49,C0021107,Implantation procedure,topp,implantation,,
D10037274.E50,C2939419,Secondary Neoplasm,neop,metastasis,,
D10037274.E51,C2939419,Secondary Neoplasm,neop,metastasis,,
D10037274.E52,C2939419,Secondary Neoplasm,neop,metastasis,,
D10037274.E53,C1883708,Then,tmco,then,,
D10037274.E54,C0205250,High,qlco,high,,
D10037274.E55,C0237753,Numbers,qnco,number,,
D10037274.E56,C0205145,Site,spco,sites,,
D10037274.E57,C2939419,Secondary Neoplasm,neop,metastasis,,
D10037274.E58,C2939419,Secondary Neoplasm,neop,metastasis,,
D10037274.E59,C3842590,10%,fndg,10.,,
D10037274.E60,,,gngm,All,613,BCR
D10037274.E61,C0205452,Six,qnco,six,,
D10037274.E62,C0868928,Case (situation),ftcn,cases,,
D10037274.E63,C0205307,Normal,qlco,normal,,
D10037274.E64,C0586688,Tissue specimen from liver,tisu,liver samples,,
D10037274.E65,C0205160,Negative,qlco,negative,,
D10037274.E66,C0063695,Intercellular adhesion molecule 1,"aapp,imft",ICAM-1,,
D10037274.E67,C1441616,Immunohistochemical,lbpr,immunohistochemical,,
D10037274.E68,C3842583,80%,fndg,80.0,,
D10037274.E69,C0345904,Malignant neoplasm of liver,neop,HCC,,
D10037274.E70,C0063695,Intercellular adhesion molecule 1,"aapp,imft",ICAM-1,,
D10037274.E71,C1521828,Rate,qnco,rate,,
D10037274.E72,C0439178,percent positive cells,qnco,positive cells,,
D10037274.E73,C3714596,Little NOS,fndg,little,,
D10037274.E74,C0205250,High,qlco,higher,,
D10037274.E75,C0475278,Large tumor,qlco,large tumors,,
D10037274.E76,C0027651,Neoplasms,neop,tumors,,
D10037274.E77,C0205266,Intact,qlco,intact,,
D10037274.E78,C1706433,Capsule Dosing Unit,qnco,capsule,,
D10037274.E79,C0027651,Neoplasms,neop,tumors,,
D10037274.E80,C2939419,Secondary Neoplasm,neop,metastasis,,
D10037274.E81,C0237881,Statistical Significance,qnco,significant,,
D10037274.E82,C1705242,Different,qlco,difference,,
D10037274.E83,C0205448,Two,qnco,two,,
D10037274.E84,C0006826,Malignant Neoplasms,neop,cancer,,
D10037274.E85,C1704212,Embolus,fndg,emboli,,
D10037274.E86,C0205250,High,qlco,high,,
D10037274.E87,C0063695,Intercellular adhesion molecule 1,"aapp,imft",ICAM-1,,
D10037274.E88,C0063695,Intercellular adhesion molecule 1,"aapp,imft",ICAM-1,,
D10037274.E89,C0345904,Malignant neoplasm of liver,neop,HCC,,
D10037274.E90,C0205250,High,qlco,higher,,
D10037274.E91,C0027651,Neoplasms,neop,tumor,,
D10037274.E92,C0023884,Liver,bpoc,liver,,
D10037274.E93,C0577059,Liver normal,fndg,normal liver,,
D10037274.E94,C0229671,Serum,bdsu,sICAM-1,,
D10037274.E95,C1749467,soluble,celc,sICAM-1,,
D10037274.E96,C0063695,Intercellular adhesion molecule 1,"aapp,imft",sICAM-1,,
D10037274.E97,C0063695,Intercellular adhesion molecule 1,"aapp,imft",ICAM-1,,
D10037274.E98,C0205250,High,qlco,higher,,
D10037274.E99,C0345904,Malignant neoplasm of liver,neop,HCC,,
D10037274.E100,C0030705,Patients,podg,patients,,
D10037274.E101,C0030705,Patients,podg,patients,,
D10037274.E102,C0496870,Benign neoplasm of liver,neop,benign liver tumor,,
D10037274.E103,C2705716,normal control,qlco,normal controls,,
D10037274.E104,C0063695,Intercellular adhesion molecule 1,"aapp,imft",ICAM-1,,
D10037274.E105,C0229671,Serum,bdsu,sICAM-1,,
D10037274.E106,C1749467,soluble,celc,sICAM-1,,
D10037274.E107,C0063695,Intercellular adhesion molecule 1,"aapp,imft",sICAM-1,,
D10037274.E108,C0205250,High,qlco,higher,,
D10037274.E109,C0680398,secondary group,popg,metastasis group,,
D10037274.E110,C0441833,Groups,idcn,group,,
D10037274.E111,C2939419,Secondary Neoplasm,neop,metastasis,,
D10037274.E112,C0063695,Intercellular adhesion molecule 1,"aapp,imft",ICAM-1,,
D10037274.E113,C3843397,20-24,fndg,20.24,,
D10037274.E114,C3843787,10 - 12,fndg,10.23+/-0.12,,
D10037274.E115,C0229671,Serum,bdsu,sICAM-1,,
D10037274.E116,C1749467,soluble,celc,sICAM-1,,
D10037274.E117,C0063695,Intercellular adhesion molecule 1,"aapp,imft",sICAM-1,,
D10037274.E118,C0450335,18/25,qnco,18+/-0.25,,
D10037274.E119,C0005861,Northern Blotting,mbrt,Northern blot analysis,,
D10037274.E120,C0063695,Intercellular adhesion molecule 1,"aapp,imft",ICAM-1,,
D10037274.E121,C0035696,"RNA, Messenger","bacs,nnon",mRNA,,
D10037274.E122,C0441889,Levels (qualifier value),qlco,level,,
D10037274.E123,C0205250,High,qlco,higher,,
D10037274.E124,C0345904,Malignant neoplasm of liver,neop,HCC,,
D10037274.E125,C0006826,Malignant Neoplasms,neop,cancer,,
D10037274.E126,C1704212,Embolus,fndg,emboli,,
D10037274.E127,C0023903,Liver neoplasms,neop,tumor       surrounding liver,,
D10037274.E128,C0577059,Liver normal,fndg,normal liver,,
D10037274.E129,C1707478,Conclusion,idcn,CONCLUSIONS,,
D10037274.E130,C0063695,Intercellular adhesion molecule 1,"aapp,imft",ICAM-1,,
D10037274.E131,C0229671,Serum,bdsu,serum,,
D10037274.E132,C1749467,soluble,celc,sICAM-1,,
D10037274.E133,C0063695,Intercellular adhesion molecule 1,"aapp,imft",sICAM-1,,
D10037274.E134,C1306673,Stage,qlco,stage,,
D10037274.E135,C0345904,Malignant neoplasm of liver,neop,HCC,,
D10037274.E136,C3245505,potential,qlco,potential,,
D10037274.E137,C0677626,hepatoma cell,cell,hepatoma cells,,
D10037274.E138,C2939419,Secondary Neoplasm,neop,metastasis,,
D10037274.E139,C2939419,Secondary Neoplasm,neop,metastasis,,
D10051471.E1,C2613365,DNA hypermethylation,genf,DNA hypermethylation,,
D10051471.E2,C1708726,Locus,gngm,locus,,
D10051471.E3,C0392756,Reduced,qlco,reduced,,
D10051471.E4,C1537673,MDFIC gene,gngm,HIC-,29969,MDFIC
D10051471.E5,C1515670,mRNA Expression,genf,mRNA expression,,
D10051471.E6,C1512409,Hepatocarcinogenesis,neop,hepatocarcinogenesis,,
D10051471.E7,C0750502,Significant,idcn,significance,,
D10051471.E8,C1510714,Aberrant DNA Methylation,comd,aberrant DNA methylation,,
D10051471.E9,C1512409,Hepatocarcinogenesis,neop,hepatocarcinogenesis,,
D10051471.E10,C0376452,DNA Methylation,moft,DNA methylation,,
D10051471.E11,C0449438,Status,qlco,status,,
D10051471.E12,C1708726,Locus,gngm,locus,,
D10051471.E13,C1515670,mRNA Expression,genf,mRNA expression,,
D10051471.E14,C1707257,Candidate Tumor Suppressor Gene,gngm,candidate        tumor suppressor gene,,
D10051471.E15,C1537673,MDFIC gene,gngm,HIC-,29969,MDFIC
D10051471.E16,C0006826,Malignant Neoplasms,neop,cancer,,
D10051471.E17,C1708726,Locus,gngm,locus,,
D10051471.E18,C0279000,Liver and Intrahepatic Biliary Tract Carcinoma,neop,primary hepatocellular carcinomas,,
D10051471.E19,C0736268,Liver parenchyma,bpoc,liver tissues,,
D10051471.E20,C2613365,DNA hypermethylation,genf,DNA hypermethylation,,
D10051471.E21,C1708726,Locus,gngm,locus,,
D10051471.E22,C0736268,Liver parenchyma,bpoc,liver tissues,,
D10051471.E23,C0019189,"Hepatitis, Chronic",dsyn,chronic hepatitis,,
D10051471.E24,C1623038,Cirrhosis,dsyn,cirrhosis,,
D10051471.E25,C0032927,Precancerous Conditions,neop,precancerous       conditions,,
D10051471.E26,C1518422,Negation,ftcn,not,,
D10051471.E27,C0736268,Liver parenchyma,bpoc,liver tissues,,
D10051471.E28,C0449575,Histological finding,fndg,histological findings,,
D10051471.E29,C0021149,Incidence,qnco,incidence,,
D10051471.E30,C2613365,DNA hypermethylation,genf,DNA hypermethylation,,
D10051471.E31,C1708726,Locus,gngm,locus,,
D10051471.E32,C0205250,High,qlco,higher,,
D10051471.E33,C2239176,Liver carcinoma,neop,HCCs,,
D10051471.E34,C0439083,>90,qnco,90%,,
D10051471.E35,C0736268,Liver parenchyma,bpoc,liver tissues,,
D10051471.E36,C1553025,peta unit of measure prefix,qnco,P       <.,,
D10051471.E37,C1517945,Loss,qnco,Loss,,
D10051471.E38,C0019425,Heterozygote,orga,heterozygosity,,
D10051471.E39,C1708726,Locus,gngm,locus,,
D10051471.E40,C2613365,DNA hypermethylation,genf,DNA       hypermethylation,,
D10051471.E41,C0445247,Same,qlco,same,,
D10051471.E42,C1708726,Locus,gngm,locus,,
D10051471.E43,C2239176,Liver carcinoma,neop,HCCs,,
D10051471.E44,C1537673,MDFIC gene,gngm,HIC-,29969,MDFIC
D10051471.E45,C0035696,"RNA, Messenger","bacs,nnon",mRNA,,
D10051471.E46,C3244092,expression level,qnco,expression level,,
D10051471.E47,C0736268,Liver parenchyma,bpoc,liver tissues,,
D10051471.E48,C0019189,"Hepatitis, Chronic",dsyn,chronic hepatitis,,
D10051471.E49,C1623038,Cirrhosis,dsyn,cirrhosis,,
D10051471.E50,C0736268,Liver parenchyma,bpoc,liver tissues,,
D10051471.E51,C0449575,Histological finding,fndg,histological findings,,
D10051471.E52,C1553025,peta unit of measure prefix,qnco,P <.,,
D10051471.E53,C2239176,Liver carcinoma,neop,HCCs,,
D10051471.E54,C0736268,Liver parenchyma,bpoc,liver tissues,,
D10051471.E55,C1553025,peta unit of measure prefix,qnco,P <.,,
D10051471.E56,C0205169,Bad,qlco,Poorly,,
D10051471.E57,C2239176,Liver carcinoma,neop,HCCs,,
D10051471.E58,C3244092,expression level,qnco,expression levels,,
D10051471.E59,C0205170,Good,qlco,well,,
D10051471.E60,C0205081,Moderate (severity modifier),qlco,moderately,,
D10051471.E61,C2239176,Liver carcinoma,neop,HCCs,,
D10051471.E62,C0026882,Mutation,genf,Mutation,,
D10051471.E63,C0079419,TP53 gene,gngm,p53 gene,7157,TP53
D10051471.E64,C1537673,MDFIC gene,gngm,HIC-,29969,MDFIC
D10051471.E65,C0544461,inactivation,ftcn,inactivation,,
D10051471.E66,C1883559,Wild Type,gngm,wild-type,,
D10051471.E67,C0079419,TP53 gene,gngm,p53,7157,TP53
D10051471.E68,C1518422,Negation,ftcn,not,,
D10051471.E69,C2613365,DNA hypermethylation,genf,DNA hypermethylation,,
D10051471.E70,C1708726,Locus,gngm,locus,,
D10051471.E71,C1537673,MDFIC gene,gngm,HIC-,29969,MDFIC
D10051471.E72,C2239176,Liver carcinoma,neop,HCCs,,
D10051471.E73,C1511726,Data,idcn,data,,
D10051471.E74,C1510714,Aberrant DNA Methylation,comd,aberrant DNA methylation,,
D10051471.E75,C1708726,Locus,gngm,locus,,
D10051471.E76,C0392756,Reduced,qlco,reduced,,
D10051471.E77,C1537673,MDFIC gene,gngm,HIC-,29969,MDFIC
D10051471.E78,C1515670,mRNA Expression,genf,mRNA expression,,
D10051471.E79,C1512409,Hepatocarcinogenesis,neop,hepatocarcinogenesis,,
D10051471.E80,C0678723,Biologic Development,orgf,developmental,,
D10051471.E81,C2363430,Early stage,tmco,early developmental stages,,
D10051471.E82,C0334590,Anaplastic Oligodendroglioma,neop,malignant,,
D10051471.E83,C0449258,Progression,ftcn,progression,,
D10051471.E84,C2239176,Liver carcinoma,neop,HCCs,,
D10068108.E1,C0225360,Myofibroblasts,cell,Myofibroblasts,,
D10068108.E2,C2246343,collagen biosynthetic process,moft,collagen synthesis,,
D10068108.E3,C0927195,Stroma,bpoc,stroma,,
D10068108.E4,C0086418,Homo sapiens,humn,human,,
D10068108.E5,C2239176,Liver carcinoma,neop,hepatocellular carcinoma,,
D10068108.E6,C1515655,in vivo,spco,in vivo,,
D10068108.E7,C0681828,in vitro study,resa,in vitro study,,
D10068108.E8,C1706907,Background,cnce,BACKGROUND,,
D10068108.E9,C3540473,Abnormal Involuntary Movement Scale Questionnaire,inpr,AIMS,,
D10068108.E10,C1706089,Marked,qlco,Marked,,
D10068108.E11,C0443172,Changed status,qnco,changes,,
D10068108.E12,C0015350,Extracellular Matrix,tisu,extracellular matrix,,
D10068108.E13,C0927195,Stroma,bpoc,stroma,,
D10068108.E14,C2239176,Liver carcinoma,neop,hepatocellular carcinoma,,
D10068108.E15,C0205307,Normal,qlco,normal,,
D10068108.E16,C0439686,Cirrhotic,qlco,cirrhotic,,
D10068108.E17,C0023884,Liver,bpoc,liver,,
D10068108.E18,C0449475,cell type,inpr,cell       types,,
D10068108.E19,C0015350,Extracellular Matrix,tisu,extracellular matrix,,
D10068108.E20,C0220781,Anabolism,biof,synthesis,,
D10068108.E21,C2239176,Liver carcinoma,neop,hepatocellular       carcinoma,,
D10068108.E22,C1518422,Negation,ftcn,not,,
D10068108.E23,C0449851,Techniques,ftcn,METHODS,,
D10068108.E24,C1515655,in vivo,spco,In vivo,,
D10068108.E25,C2246343,collagen biosynthetic process,moft,collagen synthesis,,
D10068108.E26,C0162788,In Situ Hybridization,mbrt,in situ hybridization,,
D10068108.E27,C0021044,Immunohistochemistry,diap,immunohistochemistry,,
D10068108.E28,C0441729,Type 1,clas,types I,,
D10068108.E29,C0009325,Collagen,aapp,collagen,,
D10068108.E30,C2003941,Alpha,inpr,alpha-,,
D10068108.E31,C1825843,ACTC1 gene,gngm,smooth muscle actin,70,ACTC1
D10068108.E32,C0225360,Myofibroblasts,cell,myofibroblast,,
D10068108.E33,C0005516,Biological Markers,clna,marker,,
D10068108.E34,,,gngm,CD34,947,CD34
D10068108.E35,C0225336,Endothelial Cells,cell,endothelial cell,,
D10068108.E36,C0005516,Biological Markers,clna,marker,,
D10068108.E37,C1533691,in vitro,qlco,In vitro,,
D10068108.E38,C0015350,Extracellular Matrix,tisu,extracellular matrix,,
D10068108.E39,C0333562,Deposition,ftcn,deposition,,
D10068108.E40,C0225360,Myofibroblasts,cell,myofibroblasts,,
D10068108.E41,C1294006,Reticulin stain method,lbpr,reticulin staining,,
D10068108.E42,C0242349,Immunocytochemistry,lbpr,immunocytochemistry,,
D10068108.E43,C0014241,Endoribonucleases,"aapp,enzy",RNase,,
D10068108.E44,C1545588,Protection,fndg,protection,,
D10068108.E45,C1274040,Result,ftcn,RESULTS,,
D10068108.E46,,,gngm,All,613,BCR
D10068108.E47,C0009325,Collagen,aapp,collagens,,
D10068108.E48,C0927195,Stroma,bpoc,stroma,,
D10068108.E49,C0027651,Neoplasms,neop,tumor,,
D10068108.E50,C0205250,High,qlco,higher,,
D10068108.E51,C0441889,Levels (qualifier value),qlco,level,,
D10068108.E52,C1960442,Type 6,inpr,type VI,,
D10068108.E53,C0009325,Collagen,aapp,collagens,,
D10068108.E54,C0441729,Type 1,clas,type I,,
D10068108.E55,C0680220,majority,socb,majority,,
D10068108.E56,C0007634,Cells,cell,cells,,
D10068108.E57,C0009325,Collagen,aapp,collagen,,
D10068108.E58,C1519595,Transcript,nnon,transcripts,,
D10068108.E59,C0086418,Homo sapiens,humn,human,,
D10068108.E60,C2239176,Liver carcinoma,neop,hepatocellular carcinoma,,
D10068108.E61,C0927195,Stroma,bpoc,stroma,,
D10068108.E62,C1825843,ACTC1 gene,gngm,alpha-actin,70,ACTC1
D10068108.E63,C1446409,Positive,qlco,positive,,
D10068108.E64,C0205160,Negative,qlco,negative,,
D10068108.E65,C1533691,in vitro,qlco,In vitro,,
D10068108.E66,C0681814,research study,resa,experiments,,
D10068108.E67,C0677626,hepatoma cell,cell,hepatocellular carcinoma cell,,
D10068108.E68,C0205132,Linear,spco,lines,,
D10068108.E69,C1428927,MIR7-3HG gene,gngm,HuH7,284424,MIR7-3HG
D10068108.E70,C0522501,Massive,qlco,markedly,,
D10068108.E71,C0015350,Extracellular Matrix,tisu,extracellular matrix,,
D10068108.E72,C0333562,Deposition,ftcn,deposition,,
D10068108.E73,C0086418,Homo sapiens,humn,human,,
D10068108.E74,C0023884,Liver,bpoc,liver,,
D10068108.E75,C0225360,Myofibroblasts,cell,myofibroblasts,,
D10068108.E76,C0442805,Increase,ftcn,increase,,
D10068108.E77,C1749467,soluble,celc,soluble,,
D10068108.E78,C0150312,Present,qnco,present,,
D10068108.E79,C0431085,"Tumor cells, uncertain whether benign or malignant",cell,tumor cell,,
D10068108.E80,C0009458,Communications Media,inpr,medium,,
D10068108.E81,C1518422,Negation,ftcn,not,,
D10068108.E82,C0442805,Increase,ftcn,increase,,
D10068108.E83,C0035696,"RNA, Messenger","bacs,nnon",mRNA,,
D10068108.E84,C0932050,Intercellular matrix component,celc,extracellular matrix components,,
D10068108.E85,C0392756,Reduced,qlco,decrease,,
D10068108.E86,C0036537,Bodily secretions,bdsu,secretion,,
D10068108.E87,C0030940,Peptide Hydrolases,"aapp,enzy",proteinases,,
D10068108.E88,C0225360,Myofibroblasts,cell,myofibroblasts,,
D10068108.E89,C1707478,Conclusion,idcn,CONCLUSIONS,,
D10068108.E90,C0225360,Myofibroblasts,cell,Myofibroblasts,,
D10068108.E91,C0205225,Primary,qlco,main,,
D10068108.E92,C0009325,Collagen,aapp,collagens,,
D10068108.E93,C0927195,Stroma,bpoc,stroma,,
D10068108.E94,C2239176,Liver carcinoma,neop,hepatocellular carcinoma,,
D10068108.E95,C1511726,Data,idcn,data,,
D10068108.E96,C0027651,Neoplasms,neop,tumoral,,
D10068108.E97,C0227525,Hepatocyte,cell,hepatocytes,,
D10068108.E98,C0015350,Extracellular Matrix,tisu,extracellular matrix,,
D10068108.E99,C0333562,Deposition,ftcn,deposition,,
D10068108.E100,C0225360,Myofibroblasts,cell,myofibroblasts,,
D10068108.E101,C0750492,Probably,idcn,probably,,
D10068108.E102,C0687676,Post,tmco,post-,,
D10068108.E103,C0040649,"Transcription, Genetic",genf,transcriptional,,
D10068108.E104,C0441712,Mechanism (attribute),ftcn,mechanisms,,
D10068108.E105,C0079411,Generations,tmco,generation,,
D10068108.E106,C2239176,Liver carcinoma,neop,hepatocellular       carcinoma,,
D10068108.E107,C0927195,Stroma,bpoc,stroma,,
D10068108.E108,C0225360,Myofibroblasts,cell,myofibroblasts,,
D10068108.E109,C0431085,"Tumor cells, uncertain whether benign or malignant",cell,tumoral cells,,
D10076051.E1,C0218448,macrophage stimulating protein,"aapp,bacs",hepatocyte growth factor-like protein,,
D10076051.E2,C0017337,Genes,gngm,gene,,
D10076051.E3,C0086418,Homo sapiens,humn,human,,
D10076051.E4,C2239176,Liver carcinoma,neop,hepatocellular carcinoma,,
D10076051.E5,C0021760,Interleukin-6,"aapp,imft",interleukin-6,,
D10076051.E6,C0205263,Induce (action),ftcn,induced,,
D10076051.E7,C0442805,Increase,ftcn,increased,,
D10076051.E8,C0677626,hepatoma cell,cell,hepatoma cells,,
D10076051.E9,C0086418,Homo sapiens,humn,Human,,
D10076051.E10,C2239176,Liver carcinoma,neop,hepatocellular carcinoma,,
D10076051.E11,C0205447,One,qnco,one,,
D10076051.E12,C0205393,Most,qnco,most,,
D10076051.E13,C0332183,Frequent,tmco,frequent,,
D10076051.E14,C0006826,Malignant Neoplasms,neop,malignant tumors,,
D10076051.E15,C0450442,Agent,chvf,agents,,
D10076051.E16,C0521026,Viral,ftcn,viruses,,
D10076051.E17,C0007090,Carcinogens,hops,chemical       carcinogens,,
D10076051.E18,C0441712,Mechanism (attribute),ftcn,mechanisms,,
D10076051.E19,C1512409,Hepatocarcinogenesis,neop,hepatocarcinogenesis,,
D10076051.E20,C1518422,Negation,ftcn,not,,
D10076051.E21,C0150312,Present,qnco,present,,
D10076051.E22,C2603343,Study,resa,study,,
D10076051.E23,C1274040,Result,ftcn,result,,
D10076051.E24,C0017337,Genes,gngm,genes,,
D10076051.E25,C0086418,Homo sapiens,humn,human,,
D10076051.E26,C0279000,Liver and Intrahepatic Biliary Tract Carcinoma,neop,primary liver carcinoma,,
D10076051.E27,C0205447,One,qnco,One,,
D10076051.E28,C0017337,Genes,gngm,genes,,
D10076051.E29,C0086418,Homo sapiens,humn,human,,
